Name,ID,Market Sell Price,Player Sell Price,
minecraft:stone,1,0,0,
minecraft:grass,2,0,0,
minecraft:dirt,3,0,0,
minecraft:cobblestone,4,0,0,
minecraft:planks,5,0,0,
minecraft:sapling,6,0,0,
minecraft:bedrock,7,0,0,
minecraft:flowing_water,8,0,0,
minecraft:water,9,0,0,
minecraft:flowing_lava,10,0,0,
minecraft:lava,11,0,0,
minecraft:sand,12,0,0,
minecraft:gravel,13,0,0,
minecraft:gold_ore,14,0,0,
minecraft:iron_ore,15,0,0,
minecraft:coal_ore,16,0,0,
minecraft:log,17,0,0,
minecraft:leaves,18,0,0,
minecraft:sponge,19,0,0,
minecraft:glass,20,0,0,
minecraft:lapis_ore,21,0,0,
minecraft:lapis_block,22,0,0,
minecraft:dispenser,23,0,0,
minecraft:sandstone,24,0,0,
minecraft:noteblock,25,0,0,
minecraft:golden_rail,27,0,0,
minecraft:detector_rail,28,0,0,
minecraft:sticky_piston,29,0,0,
minecraft:web,30,0,0,
minecraft:tallgrass,31,0,0,
minecraft:deadbush,32,0,0,
minecraft:piston,33,0,0,
minecraft:wool,35,0,0,
minecraft:yellow_flower,37,0,0,
minecraft:red_flower,38,0,0,
minecraft:brown_mushroom,39,0,0,
minecraft:red_mushroom,40,0,0,
minecraft:gold_block,41,0,0,
minecraft:iron_block,42,0,0,
minecraft:double_stone_slab,43,0,0,
minecraft:stone_slab,44,0,0,
minecraft:brick_block,45,0,0,
minecraft:tnt,46,0,0,
minecraft:bookshelf,47,0,0,
minecraft:mossy_cobblestone,48,0,0,
minecraft:obsidian,49,0,0,
minecraft:torch,50,0,0,
minecraft:fire,51,0,0,
minecraft:mob_spawner,52,0,0,
minecraft:oak_stairs,53,0,0,
minecraft:chest,54,0,0,
minecraft:diamond_ore,56,0,0,
minecraft:diamond_block,57,0,0,
minecraft:crafting_table,58,0,0,
minecraft:farmland,60,0,0,
minecraft:furnace,61,0,0,
minecraft:lit_furnace,62,0,0,
minecraft:ladder,65,0,0,
minecraft:rail,66,0,0,
minecraft:stone_stairs,67,0,0,
minecraft:lever,69,0,0,
minecraft:stone_pressure_plate,70,0,0,
minecraft:wooden_pressure_plate,72,0,0,
minecraft:redstone_ore,73,0,0,
minecraft:redstone_torch,76,0,0,
minecraft:stone_button,77,0,0,
minecraft:snow_layer,78,0,0,
minecraft:ice,79,0,0,
minecraft:snow,80,0,0,
minecraft:cactus,81,0,0,
minecraft:clay,82,0,0,
minecraft:jukebox,84,0,0,
minecraft:fence,85,0,0,
minecraft:pumpkin,86,0,0,
minecraft:netherrack,87,0,0,
minecraft:soul_sand,88,0,0,
minecraft:glowstone,89,0,0,
minecraft:portal,90,0,0,
minecraft:lit_pumpkin,91,0,0,
minecraft:stained_glass,95,0,0,
minecraft:trapdoor,96,0,0,
minecraft:monster_egg,97,0,0,
minecraft:stonebrick,98,0,0,
minecraft:brown_mushroom_block,99,0,0,
minecraft:red_mushroom_block,100,0,0,
minecraft:iron_bars,101,0,0,
minecraft:glass_pane,102,0,0,
minecraft:melon_block,103,0,0,
minecraft:vine,106,0,0,
minecraft:fence_gate,107,0,0,
minecraft:brick_stairs,108,0,0,
minecraft:stone_brick_stairs,109,0,0,
minecraft:mycelium,110,0,0,
minecraft:waterlily,111,0,0,
minecraft:nether_brick,112,0,0,
minecraft:nether_brick_fence,113,0,0,
minecraft:nether_brick_stairs,114,0,0,
minecraft:enchanting_table,116,0,0,
minecraft:end_portal,119,0,0,
minecraft:end_portal_frame,120,0,0,
minecraft:end_stone,121,0,0,
minecraft:dragon_egg,122,0,0,
minecraft:redstone_lamp,123,0,0,
minecraft:double_wooden_slab,125,0,0,
minecraft:wooden_slab,126,0,0,
minecraft:cocoa,127,0,0,
minecraft:sandstone_stairs,128,0,0,
minecraft:emerald_ore,129,0,0,
minecraft:ender_chest,130,0,0,
minecraft:tripwire_hook,131,0,0,
minecraft:emerald_block,133,0,0,
minecraft:spruce_stairs,134,0,0,
minecraft:birch_stairs,135,0,0,
minecraft:jungle_stairs,136,0,0,
minecraft:command_block,137,0,0,
minecraft:beacon,138,0,0,
minecraft:cobblestone_wall,139,0,0,
minecraft:carrots,141,0,0,
minecraft:potatoes,142,0,0,
minecraft:wooden_button,143,0,0,
minecraft:anvil,145,0,0,
minecraft:trapped_chest,146,0,0,
minecraft:light_weighted_pressure_plate,147,0,0,
minecraft:heavy_weighted_pressure_plate,148,0,0,
minecraft:daylight_detector,151,0,0,
minecraft:redstone_block,152,0,0,
minecraft:quartz_ore,153,0,0,
